ip;port;type;ssl;country;latency(msec);uptime(per cent);checked(UTC)
177.34.126.90;8080;Transparent;false;"Brazil";8284;89;"Nov 25 06:37:15"
177.137.239.213;8080;Transparent;false;"Brazil";3292;97;"Nov 25 06:37:06"
189.15.195.172;8080;Transparent;false;"Brazil";2255;92;"Nov 25 06:35:54"
125.162.70.105;8080;Transparent;false;"Indonesia";7416;66;"Nov 25 06:35:42"
189.111.209.224;8080;Transparent;false;"Brazil";10107;78;"Nov 25 06:35:23"
182.160.102.114;8080;Transparent;false;"Bangladesh";1712;83;"Nov 25 06:35:06"
187.60.222.158;8080;Transparent;false;"Brazil";959;91;"Nov 25 06:34:51"
180.250.208.10;8080;Transparent;false;"Indonesia";4339;87;"Nov 25 06:34:39"
168.167.127.120;8080;Transparent;false;"Botswana";9619;78;"Nov 25 06:33:32"
173.213.113.211;8080;Transparent;false;"United States";338;97;"Nov 25 06:33:31"
159.255.166.131;8080;Transparent;false;"Iraq";605;99;"Nov 25 06:32:37"
118.98.35.251;8080;Transparent;false;"Indonesia";3970;76;"Nov 25 06:31:37"
118.96.231.85;8080;Transparent;false;"Indonesia";2239;56;"Nov 25 06:30:35"
118.96.17.136;8080;Transparent;false;"Indonesia";12813;88;"Nov 25 06:29:55"
119.252.172.13;8080;Transparent;false;"Indonesia";709;95;"Nov 25 06:28:50"
119.252.165.27;8080;Transparent;false;"Indonesia";1180;93;"Nov 25 06:28:48"
119.235.21.10;8080;Transparent;false;"Indonesia";4140;93;"Nov 25 06:28:46"
118.212.129.48;8080;Transparent;false;"China";4478;82;"Nov 25 06:27:51"
116.226.85.238;8080;Transparent;false;"China";1606;90;"Nov 25 06:27:47"
118.174.0.155;8080;Transparent;false;"Thailand";35660;63;"Nov 25 06:27:46"
119.115.136.62;8080;Transparent;false;"China";2679;81;"Nov 25 06:25:39"
117.102.94.36;8080;Transparent;false;"Indonesia";8350;82;"Nov 25 06:25:37"
119.110.70.11;8080;Transparent;false;"Indonesia";2930;95;"Nov 25 06:25:36"
119.110.69.70;8080;Transparent;false;"Indonesia";4883;90;"Nov 25 06:25:33"
113.21.230.106;8080;Transparent;false;"Bangladesh";3016;95;"Nov 25 06:25:14"
116.12.47.66;8080;Transparent;false;"Indonesia";1763;88;"Nov 25 06:25:11"
113.190.41.123;8080;Distorting;false;"Viet Nam";4843;97;"Nov 25 06:25:08"
118.99.67.87;8080;Transparent;false;"Indonesia";899;75;"Nov 25 06:25:08"
113.108.201.189;8080;Transparent;false;"China";1011;50;"Nov 25 06:23:53"
111.94.147.191;8080;Transparent;false;"Indonesia";4920;97;"Nov 25 06:23:00"
111.94.145.88;8080;Transparent;false;"Indonesia";3003;93;"Nov 25 06:22:55"
114.110.43.75;8080;Transparent;false;"Indonesia";4076;97;"Nov 25 06:21:49"
110.74.222.117;8080;Transparent;false;"Cambodia";1239;96;"Nov 25 06:21:14"
110.139.99.94;8080;Transparent;false;"Indonesia";16643;53;"Nov 25 06:21:13"
1.57.215.11;8080;Transparent;false;"China";1445;90;"Nov 25 06:19:05"
93.91.55.65;8080;Transparent;false;"Czech Republic";479;94;"Nov 25 06:17:22"
81.200.53.81;8080;Transparent;false;"Czech Republic";481;92;"Nov 25 06:16:39"
95.87.231.130;8080;Transparent;false;"Bulgaria";512;86;"Nov 25 06:16:09"
80.246.89.101;8080;Transparent;false;"Russian Federation";516;94;"Nov 25 06:15:23"
77.48.30.223;8080;Transparent;false;"Czech Republic";2563;83;"Nov 25 06:13:20"
77.122.65.195;8080;Transparent;false;"Ukraine";660;87;"Nov 25 06:13:03"
36.73.41.213;8080;Transparent;false;"Indonesia";2550;96;"Nov 25 06:12:12"
66.50.26.234;8080;Transparent;false;"Puerto Rico";1781;88;"Nov 25 06:11:57"
62.173.43.73;8080;Transparent;false;"Nigeria";1060;75;"Nov 25 06:11:54"
62.173.37.204;8080;Transparent;false;"Nigeria";3550;93;"Nov 25 06:11:53"
5.9.225.130;8080;Transparent;false;"Germany";3342;94;"Nov 25 06:10:49"
46.225.241.134;8080;Transparent;false;"Iran";1890;87;"Nov 25 06:10:20"
221.6.253.186;8080;Anonymous;false;"China";31407;76;"Nov 25 06:09:01"
219.234.82.79;8080;Distorting;false;"China";2975;91;"Nov 25 06:01:04"
217.27.145.94;8080;Transparent;false;"Ukraine";2196;98;"Nov 25 05:59:54"
218.26.228.56;8080;Transparent;false;"China";1474;92;"Nov 25 05:59:22"
213.96.248.147;8080;Transparent;false;"Spain";19290;44;"Nov 25 05:58:19"
202.47.65.162;8080;Transparent;false;"Indonesia";10461;92;"Nov 25 05:57:51"
203.81.196.97;8080;Transparent;false;"Pakistan";14807;77;"Nov 25 05:56:29"
202.150.131.62;8080;Transparent;false;"Indonesia";1698;92;"Nov 25 05:56:24"
202.149.78.234;8080;Transparent;false;"Indonesia";1479;97;"Nov 25 05:56:22"
202.148.30.6;8080;Transparent;false;"Indonesia";4008;84;"Nov 25 05:56:21"
202.137.136.2;8080;Transparent;false;"Laos";13407;93;"Nov 25 05:55:43"
209.203.35.82;8080;Transparent;false;"South Africa";4534;87;"Nov 25 05:55:42"
201.167.126.189;8080;Transparent;false;"Mexico";8348;96;"Nov 25 05:55:26"
202.102.48.205;8080;Anonymous;false;"China";7474;61;"Nov 25 05:55:20"
190.75.128.151;8080;Transparent;false;"Venezuela";9958;88;"Nov 25 05:54:16"
201.210.77.228;8080;Transparent;false;"Venezuela";7451;92;"Nov 25 05:53:57"
201.205.49.48;8080;Transparent;false;"Costa Rica";2464;90;"Nov 25 05:53:50"
200.71.86.50;8080;Transparent;false;"Bolivia";1764;87;"Nov 25 05:53:42"
190.223.53.70;8080;Transparent;false;"Peru";625;97;"Nov 25 05:53:06"
190.223.53.198;8080;Transparent;false;"Peru";5215;98;"Nov 25 05:53:05"
190.206.194.166;8080;Distorting;false;"Venezuela";8873;65;"Nov 25 05:51:57"
194.165.158.97;8080;Distorting;false;"Jordan";19939;39;"Nov 25 05:51:54"
193.205.128.209;8080;Distorting;false;"Italy";5103;52;"Nov 25 05:51:34"
200.208.251.217;8080;Transparent;false;"Brazil";2965;28;"Nov 25 05:51:27"
190.196.19.55;8080;Distorting;false;"Chile";40334;32;"Nov 25 05:51:02"
190.92.60.252;8080;Transparent;false;"Honduras";9182;88;"Nov 25 05:50:42"
186.95.54.244;8080;Transparent;false;"Venezuela";6006;95;"Nov 25 05:50:25"
190.248.67.146;8080;Transparent;false;"Colombia";4029;98;"Nov 25 05:50:06"
190.248.67.118;8080;Transparent;false;"Colombia";5261;91;"Nov 25 05:50:02"
187.84.240.85;8080;Transparent;false;"Brazil";1420;94;"Nov 25 05:49:24"
186.237.23.160;8080;Transparent;false;"Brazil";7063;93;"Nov 25 05:49:17"
186.210.131.9;8080;Transparent;false;"Brazil";5898;92;"Nov 25 05:49:07"
186.208.79.36;8080;Distorting;false;"Brazil";8620;46;"Nov 25 05:49:01"
186.153.120.42;8080;Transparent;false;"Argentina";15388;93;"Nov 25 05:48:50"
180.94.88.58;8080;Transparent;false;"Afghanistan";4564;73;"Nov 25 05:48:39"
183.90.168.155;8080;Transparent;false;"Thailand";10316;67;"Nov 25 05:48:35"
190.103.190.106;8080;Transparent;false;"Costa Rica";338;96;"Nov 25 05:48:35"
190.147.208.42;8080;Transparent;false;"Colombia";2716;97;"Nov 25 05:48:25"
190.146.132.205;8080;Transparent;false;"Colombia";967;94;"Nov 25 05:48:22"
190.144.4.230;8080;Distorting;false;"Colombia";15058;76;"Nov 25 05:48:20"
187.16.63.73;8080;Transparent;false;"Brazil";4258;63;"Nov 25 05:48:16"
180.211.192.186;8080;Transparent;false;"Bangladesh";2356;92;"Nov 25 05:48:10"
190.142.116.220;8080;Transparent;false;"Venezuela";10026;91;"Nov 25 05:48:04"
125.165.125.250;8080;Transparent;false;"Indonesia";13016;72;"Nov 25 05:45:42"
125.160.76.156;8080;Transparent;false;"Indonesia";3990;8;"Nov 25 05:45:13"
123.231.246.5;8080;Transparent;false;"Indonesia";2130;98;"Nov 25 05:45:01"
125.88.74.91;8080;Distorting;false;"China";15919;94;"Nov 25 05:43:52"
125.40.157.182;8080;Transparent;false;"China";27240;52;"Nov 25 05:43:16"
114.132.246.212;8080;Transparent;false;"China";1324;96;"Nov 25 05:41:48"
118.96.251.234;8080;Transparent;false;"Indonesia";5903;77;"Nov 25 05:41:43"
118.96.251.207;8080;Transparent;false;"Indonesia";1211;70;"Nov 25 05:41:37"
118.96.196.233;8080;Transparent;false;"Indonesia";3328;85;"Nov 25 05:41:36"
110.139.175.172;8080;Transparent;false;"Indonesia";11328;73;"Nov 25 05:37:43"
110.139.173.25;8080;Transparent;false;"Indonesia";8855;86;"Nov 25 05:37:32"
110.139.150.155;8080;Transparent;false;"Indonesia";2250;75;"Nov 25 05:36:34"
